14;93;Anatomy of a Murder;29.949;['Crime', 'Drama', 'Mystery', 'Thriller'];A virtuoso James Stewart plays a small-town Michigan lawyer who takes on a difficult case: the defense of a young army lieutenant (Ben Gazzara) accused of murdering a local tavern owner who he believes raped his wife (Lee Remick). This gripping envelope-pusher, the most popular film by Hollywood provocateur Otto Preminger, was groundbreaking for the frankness of its discussion of sex—but more than anything else, it is a striking depiction of the power of words. Featuring an outstanding supporting cast—with a young George C. Scott as a fiery prosecutor and the legendary attorney Joseph N. Welch as the judge—and an influential score by Duke Ellington, Anatomy of a Murder is an American movie landmark, nominated for seven Oscars, including best picture.;7.859;766;1959-07-01;8000000;2000000;None;en;['Columbia Pictures']
15;703;Annie Hall;15.291;['Comedy', 'Drama', 'Romance'];New York comedian Alvy Singer falls in love with the ditsy Annie Hall.;7.773;3339;1977-04-19;38251425;4000000;None;en;['United Artists', 'Rollins-Joffe Productions']
16;28;Apocalypse Now;57.849;['Drama', 'War'];"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.";8.284;6895;1979-08-15;150000000;31500000;None;en;['United Artists', 'American Zoetrope']
17;212;Arsenic and Old Lace;11.772;['Comedy', 'Crime'];"Mortimer Brewster, a newspaper drama critic, playwright, and author known for his diatribes against marriage, suddenly falls in love and gets married;  but when he makes a quick trip home to tell his two maiden aunts, he finds out his aunts' hobby - killing lonely old men and burying them in the cellar!";7.611;740;1944-09-01;0;1120175;None;en;['Warner Bros. Pictures']
18;105;Back to the Future;62.281;['Adventure', 'Comedy', 'Science Fiction'];Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.;8.307;17291;1985-07-03;381109762;19000000;Back to the Future Collection;en;['Universal Pictures', 'Amblin Entertainment']
19;3175;Barry Lyndon;17.995;['Drama', 'Romance', 'War'];An Irish rogue uses his cunning and wit to work his way up the social classes of 18th century England, transforming himself from the humble Redmond Barry into the noble Barry Lyndon.;8.003;2337;1975-11-26;198992;11000000;None;en;['Hawk Films', 'Warner Bros. Pictures', 'Peregrine']
20;272;Batman Begins;53.062;['Action', 'Crime', 'Drama'];Driven by tragedy, billionaire Bruce Wayne dedicates his life to uncovering and defeating the corruption that plagues his home, Gotham City.  Unable to work within the system, he instead creates a new identity, a symbol of fear for the criminal underworld - The Batman.;7.692;18490;2005-06-10;374218673;150000000;The Dark Knight Collection;en;['Warner Bros. Pictures', 'DC Comics', 'Legendary Pictures', 'Syncopy', 'Patalex III Productions Limited']
21;10020;Beauty and the Beast;68.859;['Romance', 'Family', 'Animation', 'Fantasy'];Follow the adventures of Belle, a bright young woman who finds herself in the castle of a prince who's been turned into a mysterious beast. With the help of the castle's enchanted staff, Belle soon learns the most important lesson of all -- that true beauty comes from within.;7.733;8769;1991-10-22;424967620;25000000;Beauty and the Beast Collection;en;['Walt Disney Pictures', 'Silver Screen Partners IV', 'Walt Disney Feature Animation']
22;76;Before Sunrise;38.013;['Drama', 'Romance'];On his way to Vienna, American Jesse meets Céline, a student returning to Paris. After long conversations forge a surprising connection between them, Jesse convinces Celine to get off the train with him in Vienna. Since his flight to the U.S. departs the next morning and he has no money for lodging, they wander the city together, taking in the experiences of Vienna and each other.;7.961;3382;1995-01-27;5987386;2500000;Before... Collection;en;['Castle Rock Entertainment', 'Detour Filmproduction', 'Filmhaus Films']
23;665;Ben-Hur;24.27;['Action', 'Drama', 'History'];In 25 AD,Judah Ben-Hur, a Jew in ancient Judea, opposes the occupying Roman empire.  Falsely accused by a Roman childhood friend-turned-overlord of trying to kill the Roman governor, he is put into slavery and his mother and sister are taken away as prisoners.  Three years later and freed by a grateful Roman galley commander whom he has rescued from drowning, he becomes an expert charioteer for Rome, all the while plotting to return to Judea, find and rescue his family, and avenge himself on his former friend.  All the while, the form and work of Jesus move in the background of his life...;7.844;2232;1959-11-18;164000000;15000000;None;en;['Metro-Goldwyn-Mayer']
24;44214;Black Swan;34.156;['Drama', 'Thriller', 'Horror'];A journey through the psyche of a young ballerina whose starring role as the duplicitous swan queen turns out to be a part for which she becomes frighteningly perfect.;7.7;12832;2010-12-03;329398046;13000000;None;en;['Fox Searchlight Pictures', 'Cross Creek Pictures']
25;78;Blade Runner;59.852;['Science Fiction', 'Drama', 'Thriller'];In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.;7.931;11993;1982-06-25;41722424;28000000;Blade Runner Collection;en;['Warner Bros. Pictures', 'Shaw Brothers', 'The Ladd Company']
26;197;Braveheart;38.324;['Action', 'Drama', 'History', 'War'];Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.;7.927;8758;1995-03-14;213216216;72000000;None;en;['Icon Entertainment International', 'The Ladd Company', 'B.H. Finance C.V.']
27;642;Butch Cassidy and the Sundance Kid;23.278;['Western', 'Drama', 'Crime'];In late 1890s Wyoming, Butch Cassidy is the affable, clever and talkative leader of the outlaw Hole in the Wall Gang. His closest companion is the laconic dead-shot Sundance Kid. As the west rapidly becomes civilized, the law finally catches up to Butch, Sundance and their gang.  Chased doggedly by a special posse, the two decide to make their way to South America in hopes of evading their pursuers once and for all.;7.619;1814;1969-01-15;102308889;6000000;Butch Cassidy and the Sundance Kid Collection;en;['20th Century Fox', 'Campanile Productions', 'Newman-Foreman Company', 'George Roy Hill-Paul Monash Production']
28;289;Casablanca;21.812;['Drama', 'Romance'];In Casablanca, Morocco in December 1941, a cynical American expatriate meets a former lover, with unforeseen complications.;8.169;4506;1942-11-26;10462500;878000;None;en;['Warner Bros. Pictures']
